Benefit1,Benefit2,Benefit3,Gender1,Tin1,Tin2,FRB,size1,size2,AMED,Quant1,Quant2,Quant3,Quant4
0,1,0,1,1,0,0,0,1,1,0,0,0,1
0,1,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,0,0,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
0,1,0,1,0,1,1,1,0,1,1,0,0,0
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0,0,1,0
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,0,1,1,0,1,0,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1
